m,f,type,,
ant,ante,profession,,
ent,ente,profession,,
ateur,atrice,profession,,
ien,ienne,profession, adepte, origine
aire,aire,profession,,
eron,eronne,profession,,
iste,iste,profession, adepte,
if,ive,,,
and,ande,,,
in,ine,,,
NO_SUFFIX,esse,origine,,
on,onne,,,
teur,trice,origine,,
eur,euse,,,
ier,ière,,,
ais,aise,profession,,
ois,oise,origine,,
ard,arde,origine,,
ain,aine,origine,,
euf,euve,,,
urge,urge,,,
graphe,graphe,,,
naute,naute,,,
anthrope,anthrope,,,
crate,crate,,,
mane,mane,,,
pathe,pathe,,,
phile,phobe,,,
