RawNoun,Count
professionnel,1251
utilisateur,1057
ami,991
habitant,977
joueur,767
client,590
consommateur,535
citoyen,469
homme,409
humain,380
auteur,347
parent,347
employé,318
patient,301
médecin,301
expert,269
participant,232
étudiant,213
enfant,198
visiteur,181
fabricant,175
amateur,174
invité,156
acteur,154
lecteur,154
conducteur,143
partenaire,140
producteur,134
chercheur,133
enseignant,131
candidat,128
musicien,127
travailleur,125
voyageur,123
représentant,121
assistant,120
chef,120
investisseur,116
professeur,112
passager,101
conseiller,99
agent,89
vendeur,85
spectateur,84
débutant,83
avocat,83
propriétaire,78
acheteur,77
recruteur,77
ingénieur,74
développeur,73
locuteur,67
commerçant,66
juge,66
dermatologue,63
chanteur,60
agriculteur,58
juré,58
particulier,57
employeur,57
adolescent,56
contributeur,55
éditeur,55
amoureux,54
passionné,53
fournisseur,53
technicien,53
créateur,52
occupant,51
spécialiste,51
explorateur,51
artisan,50
monsieur,49
dirigeant,47
pompier,46
écrivain,44
instructeur,44
pêcheur,43
administrateur,43
plongeur,42
plombier,42
président,42
mineur,42
voisin,41
artiste,39
allié,38
collaborateur,37
adulte,37
entrepreneur,36
soldat,35
résident,34
coureur,33
donateur,33
directeur,33
praticien,33
chasseur,32
décorateur,32
gardien,31
policier,31
marié,30
salarié,30
défunt,29
réalisateur,28
observateur,28
entraîneur,28
opérateur,28
maire,27
nutritionniste,27
apprenant,27
historien,27
pédiatre,27
hôte,27
constructeur,27
immigrant,27
destinataire,26
défenseur,26
électeur,26
expéditeur,25
architecte,25
supérieur,24
décideur,24
passant,24
responsable,24
organisateur,24
interlocuteur,23
donneur,23
éducateur,23
serveur,22
héros,22
jardinier,22
démineur,21
grutier,21
piéton,21
randonneur,21
chirurgien,21
collègue,21
danseur,21
garçon,21
partisan,20
serf,20
cuisinier,20
pharmacien,20
emprunteur,19
colon,19
usager,19
créancier,19
mécanicien,19
compositeur,19
électricien,18
prêteur,18
marin,18
croupier,18
animateur,17
tuteur,17
compagnon,17
promeneur,17
accusé,17
pratiquant,17
collectionneur,16
auditeur,16
locataire,16
fumeur,16
abonné,16
traducteur,16
chrétien,16
barman,15
distributeur,15
diététicien,15
gestionnaire,15
suspect,15
intervieweur,15
tueur,15
étranger,15
physicien,15
caissier,14
coach,14
aîné,14
éleveur,14
baigneur,14
maçon,14
guide,14
médiateur,13
gagnant,13
descendant,13
officier,13
peintre,13
chauffeur,13
associé,12
industriel,12
chroniqueur,12
concepteur,12
père,12
moniteur,12
évaluateur,11
proche,11
juif,11
vacancier,11
caricaturiste,11
végétalien,11
européen,11
député,11
penseur,11
aventurier,10
croyant,10
figurant,10
concurrent,10
inconnu,10
comédien,10
héritier,10
photographe,9
rêveur,9
concessionnaire,9
coiffeur,9
menuisier,9
paysan,9
voyant,9
végétarien,9
émetteur,9
gaulois,9
gouvernant,9
