RawNoun,Count
ami,6497
homme,3589
étudiant,2665
client,2452
invité,2391
utilisateur,2159
auteur,2021
président,1988
monsieur,1667
joueur,1629
adolescent,1559
humain,1533
parent,1242
acteur,1239
candidat,1148
avocat,1041
professionnel,1035
débutant,999
habitant,953
employé,923
écrivain,918
professeur,913
chevalier,823
père,770
chef,767
citoyen,723
garçon,672
chanteur,624
assistant,622
enseignant,526
expert,525
vendeur,498
entrepreneur,497
ingénieur,480
développeur,470
juge,460
explorateur,455
patient,451
voisin,439
lecteur,438
conseiller,427
agent,422
soldat,417
amateur,413
directeur,376
héros,354
employeur,354
travailleur,349
historien,330
contributeur,321
député,320
électeur,315
éditeur,313
poète,313
maire,309
chercheur,299
musicien,295
compositeur,291
comte,276
voyageur,276
participant,260
serveur,256
sénateur,249
représentant,230
villageois,228
inventeur,227
créateur,220
consommateur,217
jumeau,206
agriculteur,206
lauréat,205
mécanicien,204
partenaire,200
visiteur,197
combattant,195
gardien,194
mineur,192
dirigeant,191
magicien,188
juif,182
locuteur,182
européen,181
empereur,180
recruteur,179
étranger,166
rédacteur,158
pompier,155
républicain,155
conducteur,153
passager,150
prêtre,146
résident,145
aventurier,145
collectionneur,142
vice-président,132
marin,132
officier,131
administrateur,131
observateur,128
tuteur,127
investisseur,124
producteur,123
colonel,122
salarié,120
présentateur,119
colon,119
cuisinier,118
boxeur,118
général,117
technicien,116
pape,115
réfugié,114
collaborateur,114
policier,112
passionné,111
spectateur,110
particulier,109
entraîneur,109
jardinier,108
chauffeur,108
moine,104
défenseur,104
gouverneur,104
chasseur,104
réalisateur,103
supérieur,102
donneur,102
plongeur,101
modérateur,98
héritier,98
prisonnier,97
animateur,93
magistrat,91
tueur,90
mathématicien,87
coiffeur,86
éleveur,86
électricien,84
consultant,84
grand-père,84
instructeur,83
opérateur,83
artisan,83
sauveteur,82
fabricant,82
gagnant,79
physicien,78
correspondant,78
conférencier,77
sportif,76
danseur,75
conjoint,75
procureur,75
coureur,74
traducteur,73
conservateur,73
migrant,73
juré,72
compagnon,72
pionnier,72
suspect,71
marié,71
croyant,67
défunt,67
descendant,67
romancier,67
navigateur,66
détenu,65
enquêteur,65
prêteur,64
barman,64
fournisseur,64
guerrier,64
abbé,64
fondateur,64
amoureux,63
voleur,63
musulman,63
rappeur,63
gladiateur,62
plombier,62
vainqueur,60
gaucher,60
chrétien,60
éducateur,59
commerçant,59
champion,59
sorcier,59
maréchal,59
retraité,58
narrateur,58
cavalier,58
condamné,56
médiateur,56
pêcheur,56
comédien,55
hôte,55
auditeur,54
franchisé,53
survivant,53
usager,53
bourgeois,53
déménageur,51
aidant,50
penseur,50
emprunteur,50
programmeur,49
chapelier,49
oncle,48
moniteur,48
inspecteur,48
abonné,48
commandant,48
accusé,47
interlocuteur,47
promeneur,46
livreur,45
apprenti,45
squatteur,44
pèlerin,44
prophète,43
paysan,43
académicien,42
immigrant,42
chroniqueur,42
papa,41
constructeur,41
acheteur,40
piéton,40
occupant,40
ambassadeur,40
orateur,39
vigneron,38
politicien,38
docteur,37
consul,37
troubadour,36
organisateur,36
correcteur,36
ressortissant,36
saint,36
végétarien,36
courtier,35
sauveur,35
tatoueur,34
duc,34
aviateur,34
concepteur,34
ambulancier,33
informaticien,33
pauvre,33
préfet,33
messager,33
noir,33
criminel,32
partisan,32
lycéen,32
préparateur,32
inconnu,32
caissier,32
époux,31
végétalien,31
coéquipier,31
décorateur,31
conteur,30
instituteur,30
militant,30
débiteur,29
berger,29
serf,29
contrôleur,29
maquilleur,29
copain,29
intimidateur,29
porteur,28
pratiquant,28
apôtre,28
votant,28
théologien,28
sculpteur,28
basketteur,28
décideur,28
bricoleur,27
allié,27
dessinateur,27
cascadeur,26
wikipédien,26
lanceur,25
grutier,25
créancier,25
toiletteur,25
conquérant,25
demi-frère,25
amant,24
démineur,24
passant,24
aumônier,23
prostitué,23
collégien,23
baron,23
chirurgien,23
intellectuel,22
randonneur,22
civil,22
ennemi,22
pharmacien,22
petit-fils,22
cordonnier,22
plaisancier,22
québécois,21
huissier,21
patron,21
concurrent,21
gendarme,20
manifestant,20
nazi,20
frappeur,19
érudit,19
ancien,19
prospecteur,19
savant,19
éboueur,19
distributeur,19
sujet,18
vieillard,18
négociateur,18
religieux,18
lord,18
nageur,17
doctorant,17
intervieweur,17
aîné,17
attaquant,16
téléspectateur,16
prétendant,16
expatrié,16
esquimau,16
maçon,15
footballeur,15
demandeur,15
orphelin,15
lieutenant,15
youtubeur,15
pasteur,15
tricheur,15
tailleur,15
superviseur,15
goûteur,15
industriel,15
ramoneur,15
dormeur,14
cueilleur,14
gaulois,14
viticulteur,14
rêveur,14
protecteur,14
diététicien,14
chéri,14
supporter,13
chancelier,13
innovateur,13
forgeron,13
châtelain,13
voyant,13
bijoutier,13
préadolescent,13
commentateur,13
nain,13
délégué,13
charpentier,13
brigadier,13
boucher,12
bourreau,12
vagabond,12
illustrateur,12
testeur,12
expéditeur,12
détenteur,12
délinquant,12
contemporain,12
plaignant,12
sinistré,12
formateur,12
rabbin,12
législateur,12
commis,12
astrophysicien,11
beau-frère,11
écuyer,11
apprenant,11
monteur,11
poseur,11
meurtrier,11
canalisateur,11
buteur,11
souverain,11
sélectionneur,11
vacancier,10
banquier,10
beau-père,10
successeur,10
surveillant,10
parolier,10
graveur,10
déposant,10
dictateur,10
répondant,10
metteur,10
lutteur,10
terrien,9
receveur,9
limonadier,9
accompagnateur,9
signeur,9
empaleur,9
donateur,9
portier,9
communicateur,9
immigré,9
espion,8
logicien,8
expérimentateur,8
caucasien,8
praticien,8
vétéran,8
perdant,8
contradicteur,7
innocent,7
costumier,7
clinicien,7
gars,7
restaurateur,7
co-fondateur,7
meneur,7
baigneur,7
laïc,7
remplaçant,7
mangeur,7
agresseur,7
théoricien,7
hébergeur,7
intéressé,7
bagnard,7
afro-américain,7
serviteur,7
sympathisant,6
tavernier,6
évaluateur,6
volailler,6
gérant,6
commercial,6
référent,6
pâtissier,6
mort,6
converti,6
postulant,6
fondeur,6
druide,6
émetteur,6
blogueur,6
communicant,6
marseillais,6
régulateur,6
sergent,6
associé,5
grammairien,5
connaisseur,5
gendre,5
prédécesseur,5
épargnant,5
cofondateur,5
akkadien,5
actif,5
victorien,5
homosexuel,5
steward,5
surfeur,5
admirateur,5
séducteur,5
tsar,5
encadrant,5
colonisateur,5
archer,5
occidental,5
nécessiteux,5
bâtisseur,5
byzantin,5
puritain,5
compétiteur,5
péripatéticien,5
réformateur,5
rival,5
revendeur,5
résistant,5
frangin,5
gamin,5
dactylographe,4
végan,4
accoucheur,4
transformateur,4
administré,4
usurpateur,4
absent,4
droitier,4
imprimeur,4
illuminé,4
opprimé,4
dissident,4
provocateur,4
couturier,4
batteur,4
jésuite,4
généticien,4
bûcheron,4
facteur,4
rockeur,4
fumeur,4
riverain,4
matheux,4
cambrioleur,4
martien,4
malfaiteur,4
golfeur,4
charlatan,4
garant,4
neveu,4
défendeur,4
milicien,4
blanc,4
dresseur,4
recteur,4
citadin,4
quaker,4
charmeur,4
codirecteur,4
chansonnier,3
sultan,3
suiveur,3
tenant,3
adjoint,3
ailier,3
bienfaiteur,3
greffier,3
iroquois,3
babylonien,3
aïeul,3
chaman,3
confident,3
chocolatier,3
colistier,3
exterminateur,3
cireur,3
métis,3
requérant,3
manipulateur,3
marqueur,3
matelot,3
campeur,3
malentendant,3
neurochirurgien,3
parfumeur,3
prédicateur,3
poissonnier,3
officiel,3
démonstrateur,3
exécuteur,3
figurant,3
facilitateur,3
prédateur,3
cyclosportif,3
attaché,3
détracteur,3
passeur,3
braconnier,3
informateur,3
indépendant,3
hôtelier,3
écolier,3
zoroastrien,2
inculpé,2
épicier,2
arpenteur,2
assassin,2
inscrit,2
indigent,2
instigateur,2
arrivant,2
antihéros,2
appelant,2
assaillant,2
coprésident,2
coordonnateur,2
croisé,2
enchérisseur,2
compère,2
papy,2
négociant,2
poursuivant,2
prochain,2
communard,2
découvreur,2
parrain,2
orgueilleux,2
courtisan,2
planificateur,2
persécuteur,2
curieux,2
curateur,2
télétravailleur,2
questionneur,2
classificateur,2
chômeur,2
charcutier,2
semeur,2
sommelier,2
sprinteur,2
handicapé,2
géniteur,2
habitué,2
marathonien,2
béotien,2
fou,2
fouineur,2
frondeur,2
fromager,2
lyonnais,2
marquis,2
martyr,2
gamer,2
redistributeur,2
rôdeur,2
brasseur,2
adhérent,2
vicomte,2
vieux,2
harceleur,2
statisticien,2
tragédien,2
bailleur,2
beau-fils,2
adoptant,2
taïwanais,2
tireur,2
toulousain,2
libertin,2
gourmand,2
mortel,2
gnome,2
national,2
exécutant,2
recordman,2
exploitant,2
médaillé,2
rapporteur,2
arrière-cousin,1
arnaqueur,1
arrière-grand-père,1
inquisiteur,1
initié,1
installateur,1
blagueur,1
éclaireur,1
épicurien,1
équipier,1
arrangeur,1
annonceur,1
bordelais,1
apiculteur,1
applicant,1
bohémien,1
blanchisseur,1
étalon,1
inférieur,1
improvisateur,1
vérificateur,1
zurichois,1
importateur,1
concubin,1
conciliateur,1
déporté,1
déplacé,1
parquetier,1
nourricier,1
opticien,1
officiant,1
non-fumeur,1
nul,1
faiseur,1
familier,1
fiancé,1
forain,1
forestier,1
niçois,1
croupier,1
principal,1
preneur,1
possesseur,1
pollueur,1
promoteur,1
protégé,1
devin,1
pisteur,1
pillard,1
petit,1
patricien,1
dragueur,1
coordinateur,1
couillon,1
couvreur,1
traqueur,1
triomphateur,1
assuré,1
truand,1
urbain,1
algonquin,1
cultivateur,1
engagé,1
enchanteur,1
patineur,1
trésorier,1
dévot,1
embaumeur,1
raisonneur,1
charretier,1
puceau,1
receleur,1
exportateur,1
examinateur,1
exilé,1
esthéticien,1
montagnard,1
motard,1
entrant,1
mosellan,1
clochard,1
gardeur,1
gondolier,1
goth,1
préposé,1
cheminot,1
consanguin,1
fugitif,1
fraudeur,1
mendiant,1
marcheur,1
manufacturier,1
majeur,1
mafieux,1
routier,1
sauteur,1
brocanteur,1
butteur,1
businessman,1
bâtonnier,1
bédouin,1
loueur,1
luthérien,1
régent,1
saisonnier,1
régisseur,1
spéculateur,1
servant,1
soûlard,1
sourcier,1
sonneur,1
scout,1
scoreur,1
skieur,1
cadet,1
capétien,1
changeur,1
californien,1
cafetier,1
horticulteur,1
hindou,1
géophysicien,1
habilleur,1
griot,1
guichetier,1
guérisseur,1
géant,1
grincheux,1
grimpeur,1
suppléant,1
littérateur,1
lesbien,1
introverti,1
laboureur,1
intégrateur,1
titreur,1
testard,1
templier,1
tenancier,1
syndic,1
libérateur,1
lillois,1
traitre,1
baroudeur,1
barde,1
barbier,1
balayeur,1
affranchi,1
verrier,1
accusateur,1
accompagnant,1
